Section,Chapter number,grammar_ref,Grammar Rule,More
1,1,N4-1,V - て + みる,Use when a person tries something alittle to see if he or she likes it.
1,2,N4-2,（~~い~~A　・　なA）　＋　〜そうだ,"Use to describe something's appearance or condition judged only by looking at it. *いい　＝　良さそうだ。You can use ""V-ます+そうだ"" form."
1,3,N4-3,"PL + んです
（なA~~だ~~　・　N~~だ~~）","Us for example, when you want a person to explain their situation or when you want to talk about your situation. You can provide a reason."
1,4,N4-4,V　~~ます~~　+ 方,Use to talk about how to do something.
1,5,N4-5,"PL + ので
（なA~~だ~~　な　・　Nだ　な）","Use to talk about about a cause or reason, just like から"
1,6,N4-6,（Vる　＋　こと ・　N)　＋　ができる,"Use when you say, for example, that a person has the ability to do something, or that a certain action is permitted in a place."
1,7,N4-7,"PL ＋　かどうか
（なA~~だ~~　・　N~~だ~~）","Use when you say ""will or will not"" or ""like this or not like this"". Words such a s "" 知 っ て いる ・ 言 う ・ 聞 く ・ わ か ら な い ・ ~ て み る "" are often used afterward."
2,8,N4-8,V - て + V,"Use to talk about an action that follows a previous, continuing action."
2,9,N4-9,Vーない　＋　で　＋　V,Use to talk about an action that follows a previous action that did not occur.
2,10,N4-10,V - て + しまう,Use when you say that an action that takes time is finished early or is completely finished.
2,11,N4-11,PL ＋　ら,"Use when you say if then. It also means After ,~ then. Other uses include the""~たらいいですが"" form to ask for advice,and the ” ~ た ら ど うで す が” form to give advice or make a suggestion. """"良かったら"" is often used to invite a person or suggest something to a person."
2,12,N4-12,V - できる (potential form),"The potential form has the same meaning as "" 〜ことができる"". Use it when you say, for example that a person has the ability to do something, or what can be done in a place."
3,13,N4-13,"PL ＋　という意味
なA ・　N  ＋　という意味
V ー しろ・V ー　よう　＋　という意味","Use  when you explain the meaning of a word, symbol or the like."
3,14,N4-14,V ー られる(passive form),"Use the passive form when you want to talk about areceiver of an action. Indicate the person who did the action with hte particle ""It"". The passive form is often used with words suchas""ほめる・さそう・助ける・頼む・しょうたいする”."
3,15,N4-15,"Pl ＋　のに
(なA ~~だ~~　な　・　N ~~だ~~な)","Means the opposite of  "" ので"" Use ti when you want to express dissatisfaction,disapointment, or surprise. から focuses on the speaker’s own thoughts, feelings, or guesses. It is more forceful and ""me-centric.　ので focuses on facts, cause-and-effect, and social harmony. It makes it sound like the ""result"" is naturally occurring because of the ""reason,"" rather than just because you said so."
3,16,N4-16,V - ~~ない~~　＋　なければならない,"Use ~なければならない” when you want to say that somet hing has t obe done, even if you or someone else does not want to."
3,17,N4-17,V-て　〜もいい,Use when you want to say that it is okay to take a certain action or that there is no problem with it.
3,18,N4-18,[receiver] に　あげる,"Use when you give a present or something to another person. Use the particle ""に"" for the person to whom you are giving it. You can also use ""やる"" ni place of ""あげる"" if the recipient is a younger person, an animal, or a plant. "
3,19,N4-19,V- ~~ない~~ + なくてもいい,"Use it when you say that something does not need to be done. Another way to say ” ~なくてもいい""is” ~なくてもかまいません"
3,20,N4-20,"V- た + ほうがいい ・・・・
V- ない  + ほうがいい",Use when you give advice to aperson with a problem.  When you give your opinion on which option should be taken.
3,21,N4-21,"V- る + ことにする
V- ない  + ことにする",Use when you yourself decide to take or not take a certain course of action
4,22,N4-22,V- た + ことがある,Use when you talk about a past experience of doing something.
4,23,N4-23,「いつ・どこ・」などの疑簡 + I +か [なA だ N だ],"You can use ""question word ~か"" when you say. For example ""when he or she dose"" or ""how it is"". Words such as ""知っている・言う・聞く・わからない・~てみる"" are often used afterward. With a Verb: 彼がいつ来るか知っていますか？ With a Noun: これが何かわかりませんWith an Adjective:どこが静かか教えてください。"
4,24,N4-24,"PI +と
[現在形だけ Present form only]","Used for example to explain a natural change. How to use a machine. Or directions. It is often used when you say ""When ~ will always happen. ""Natural Consequence"" or ""Inevitability"" conditional in Japanese."" Think of it as the ""100% Rule."" If Action A happens, Action B always follows automatically."
4,25,N4-25,N1 + は + N2 ＋ よ り ～,"The ""AはBより〜  form means compared to B, A is ~"
4,26,N4-26,それ,"When the speaker or listener mentions something previously mentioned by the speaker. but the listener i s not familiar with it, use a word such as ""それ""."
4,27,N4-27,"P I + の
［ な A ~~だ~~ な N ~~だ~~な ]","Use ""の""to turn the sentence into a noun phrase"
4,28,N4-28,V - る + のに,"Use 〜のに when ""..."" is needed to achieve a purpose. Words such as 使 う ・ い る ・箯利 ・ いい ・  役に立つ are often used for the ""..."" part. Think of the 〜のに (~no ni) grammar point as the Japanese way of saying ""for the purpose of"" or ""in order to."" It connects an action (a verb) to the tools, time, money, or feelings needed to get that action done. 食べる (to eat) + のに = 食べるのに (for eating/to eat).  作る (to make) + のに = 作るのに (for making/to make). 行く (to go) + のに = 行くのに (for going/to go) Important Note: Do not confuse this with the other ""noni"" that means ""even though."" In this grammar point, the sentence almost always ends with words about utility (useful, good) or necessity (costs, takes time, need)."
4,29,N4-29,(V- れる / られる) ,"You can also use the passive form when you explain or provide information about a building, product, event, and the like. Words such as 『発明する (invent)・発見する (discover)・作る (make)・開く (hold/host)』 are often used."""
4,30,N4-30,V - て + い る,Use it when you talk about a continuing action.
4,31,N4-31,N + がする,"Use がする when you sense a scent, sound, voice or flavor of something."
4,32,N4-32,（Vーる　・　Vーた　・　Vーている）　　＋　ところだ,"Use when you explain what the present situation is like. 食べるところ means someone is ""going to eat now"" 　食べているところ means ""someone is eating now"" and 食べたところ means ""someone is has just finished eating"""
4,33,N4-33,PL ＋　でしょう　「なAだ　N~~だ~~」,"Use to ask for another person's opinion by adding a nuance that says,　""This is what I think. You think so too, right?"" When you use this expression, the　intonation rises a t the end of the sentence."
4,34,N4-34,PL ＋　らしい　「なA~~だ~~　N~~だ~~」,Use it when you say what you think is probably the case based on the information you have seen or heard
4,35,N4-35,PL + といっていた　「＊POの場合もある」,Use it when you tell a person about somethign you heard from a different person.
4,36,N4-36,V-て　＋　もらう,"Use when you say that another person did something for you, for which you feel grateful. when もらうuse に OR から for the person receiving."
4,37,N4-37,V-ます + そうだ,Use when you say what you think or predict will probably happen in the future.
4,38,N4-38,ば,"Use ”〜ば...""when you say ""If~, then..."" It is often used to talk about necessary conditions in order to fulfill a desire."
4,39,N4-39,V-て　＋　しまう,Used when the speaker talks about something that is a mistake or is unfortunate o r troublesome.
4,40,N4-40,V-て　＋　ある,Use when you explain in detail what condition something is in at it's location.
5,41,N4-41,PL ＋　でしょう　「なA~~だ~~　N~~だ~~」,Use when you say what you think but are not entirely sure.
5,42,N4-42,Vて　＋　おく,"Use when you say that you will prepare somehting in advance in order to achieve a purpose. You can also use this to talk about cleaning up afterward, sinec this is also a form of prepartion for the next time."
5,43,N4-43,PL + といい,"Use when you say that you wish something would happen. People often say "" 〜ね "" when the wish is the listener's or both the speaker's and listener's , or ""〜なあ "" when the wish is only the speakers. "
5,44,N4-44,PL + かもしれない　「なA~~だ~~　N~~だ~~」,Use when something is possible. It is used for both high and low probability.
5,45,N4-45,「Vーる　・　Vーない」＋　ことになる,"Use when you talk about a decision by another person, or something decided in consultation with another person."
6,46,N4-46,PL ＋　の・んだ　「なA~~だ~~　N~~だ~~」,"Use ”の” OR ”んだ” in the place of "" "" in conversation with friends hwne you ask about or explain situations. When often use "" 〜の"" "
6,47,N4-47,PL ＋　ようだ　「なA~~だ~~　N~~だ~~」,"Use when you talk about what you think based on, for example, what you sense at the time, what you see or hear, what something feels like to the touch, a taste, or smell"
6,48,N4-48,PL ＋　んじゃない？　「なA~~だ~~　N~~だ~~」,"This is what I think. You think so too, don't you ? Although the conjugation looks negative, it does not make the sentence negative."
6,49,N4-49,まれた,Use the passive form when something is hurt or feels badly due to an incident or actions of another person.
6,50,N4-50,Vーて　＋　おく,Use when a person leaves the current situation as is.
6,51,N4-51,Vー~~ます~~　＋　そうだ,"Use when you say that something will happen soon, right before an action or change."
6,52,N4-52,ても,Use when you say something opposite of what one would normally think. You can add emphasis by combining it with words such as ”どんなに”・たとえ　・　いくら　”
6,53,N4-53,なくて,Used to express cause or reason. Use with something as the reason and that something as the result situation. Words to express or inability are often used. This is used when a situation or reason prevents you from doing something. It often involves potential verbs in the negative form.
6,54,N4-54,「Vー~~ます~~・いA~~い~~・なA」＋　すぎる,"Use when you say that something is not right, but is rather in excess and causing a problem."
6,55,N4-55,「Vーる・Vーない・V-できる」＋　ように,"Use when you say that ""..."" will be done to achieve ""..."" (a good, none problemtic situation)"
6,56,N4-56,し,"Use when you add two or more explanations about one thing, It is often used to state a cause or reason. The explanations following the first one maybe be unspoken yet implied"
7,57,N4-57,V-な,"Use when you want to forcefully say. Don't do that. It is often used, for example to cheer on athletes or written warnings in public. To explain the meaning oof a sign and the like: between male friends: by a parent to a child: and to warn a dog or cat. You can also use it when you repeat what another person has said."
7,58,N4-58,しろ,"Use when you want to forcefully say. Don't do that. It is often used, for example to cheer on athletes or written warnings in public. To explain the meaning oof a sign and the like: between male friends: by a parent to a child: and to warn a dog or cat. You can also use it when you repeat what another person has said."
7,59,N4-59,PL ＋　って,"In conversation with friends use ""〜って "" in the place of "" 〜と"" when you want to say things like "" という"" and "" と思う"" . "
7,60,N4-60,てくれた,Use when you express gratitude for an action by another person that was to your benefit. 私に is often omitted.
7,61,N4-61,no information,
7,62,N4-62,no information,
7,63,N4-63,no information,
7,64,N4-64,no information,
7,65,N4-65,no information,
